From,To
209575_at,3588
216883_x_at,5147
204995_at,8851
221356_x_at,22953
220950_s_at,55683
202259_s_at,10443
211113_s_at,9619
219944_at,79745
217489_s_at,3570
203248_at,7572
217115_at,7686
221358_at,2832
219073_s_at,114884
220483_s_at,25897
205116_at,3908
201378_s_at,9898
218151_x_at,79581
211962_s_at,677
205095_s_at,535
222139_at,57612
210563_x_at,8837
201793_x_at,9887
218569_s_at,55709
202180_s_at,9961
202592_at,2647
214902_x_at,4026
203210_s_at,5985
205193_at,23764
37831_at,23094
204487_s_at,3784
218798_at,65095
202454_s_at,2065
41660_at,9620
210409_at,653483
205310_at,23403
216925_s_at,6886
210835_s_at,1488
221533_at,26355
215759_at,79998
220145_at,79884
37433_at,9063
221107_at,55584
219850_s_at,26298
207563_s_at,8473
202270_at,2633
212455_at,91746
218019_s_at,8566
222285_at,3495
209211_at,688
215766_at,2938
209816_at,5727
213650_at,23015
214465_at,5004
211301_at,3752
218316_at,26520
219471_at,80183
201135_at,1892
207055_at,9283
202256_at,10421
220090_at,49860
202497_x_at,6515
207791_s_at,5861
210909_x_at,80350
205960_at,5166
209402_s_at,6560
216436_at,30849
203789_s_at,10512
220578_at,54507
204743_at,29114
213356_x_at,144983
219809_at,54853
202494_at,10450
206199_at,1087
217457_s_at,5910
216137_s_at,23162
201609_x_at,23463
204014_at,1846
216829_at,3514
204813_at,5602
210510_s_at,8829
206020_at,9306
215752_at,23235
218471_s_at,582
220917_s_at,57728
213126_at,112950
206256_at,1369
212864_at,8760
200983_x_at,966
208724_s_at,5861
207778_at,5969
211696_x_at,3043
208354_s_at,6559
202181_at,9766
220218_at,55064
204475_at,4312
219616_at,79611
219814_at,55796
208614_s_at,2317
219405_at,55128
209016_s_at,3855
209823_x_at,3119
203748_x_at,5937
212275_s_at,10847
219170_at,79187
217745_s_at,80218
213292_s_at,23161
220433_at,79057
219447_s_at,51006
203773_x_at,644
202385_s_at,6949
208595_s_at,4152
220294_at,27012
200960_x_at,1211
213584_s_at,58487
206049_at,6403
200650_s_at,3939
212550_at,6777
209063_x_at,10605
201864_at,2664
217547_x_at,171392
219933_at,51022
213572_s_at,1992
202173_s_at,7716
212093_s_at,57509
213550_s_at,3550
204840_s_at,8411
217504_at,23460
206094_x_at,54575
209200_at,4208
213359_at,3184
220961_s_at,9238
218641_at,65998
219352_at,55008
207232_s_at,9666
204754_at,3131
209007_s_at,57035
203063_at,9647
215856_at,284266
211098_x_at,54499
219956_at,11226
218640_s_at,79666
213671_s_at,102465454
205288_at,8556
213929_at,23086
208194_s_at,10254
220821_at,2587
221259_s_at,56159
219938_s_at,9050
218469_at,26585
200621_at,1465
211358_s_at,25792
213174_at,23508
201380_at,10491
204223_at,5549
209195_s_at,112
209413_at,8704
221888_at,54862
208439_s_at,2220
212705_x_at,57104
209500_x_at,407977
204752_x_at,10038
211324_s_at,285190
207216_at,944
209988_s_at,429
208830_s_at,6830
218440_at,56922
205916_at,6278
219498_s_at,53335
201096_s_at,378
222369_at,79829
202163_s_at,9337
208329_at,59351
209331_s_at,4149
206650_at,55721
217123_x_at,5369
217893_s_at,79647
220926_s_at,80267
218384_at,23589
206442_at,6406
210142_x_at,10211
220577_at,387751
215654_at,587
212812_at,256987
217731_s_at,9445
202354_s_at,2962
220009_at,79836
208572_at,8290
214969_at,4293
213974_at,57188
213263_s_at,5094
211536_x_at,6885
210656_at,8726
210937_s_at,3651
212579_at,23347
202780_at,5019
219133_at,54995
217942_at,60488
202721_s_at,2673
207822_at,2260
209643_s_at,5338
211756_at,5744
204306_s_at,977
214279_s_at,57447
221278_at,3218
205210_at,9392
213405_at,57403
211719_x_at,2335
214789_x_at,10929
213891_s_at,6925
218501_at,50650
202366_at,35
204657_s_at,6461
210236_at,8500
211257_x_at,27332
217422_s_at,933
219984_s_at,57110
208042_at,55109
202421_at,3321
206828_at,7294
215015_at,92558
211063_s_at,4690
211276_at,140597
205604_at,3235
208350_at,1446
204027_s_at,4234
217851_s_at,51012
205705_at,22852
219583_s_at,55812
208904_s_at,6234
219549_s_at,10313
216001_at,390999
211699_x_at,3039
204809_at,10845
210667_s_at,8209
219221_at,253461
205280_at,2743
213137_s_at,5771
42361_g_at,54535
221106_at,51310
204258_at,1105
207132_x_at,5204
201983_s_at,1956
218559_s_at,9935
222281_s_at,100505650
206632_s_at,9582
222261_at,57707
215051_x_at,199
212482_at,64795
214378_at,7035
200734_s_at,377
221783_at,58525
216274_s_at,23478
213970_at,285282
221502_at,3839
222380_s_at,10016
203801_at,63931
203887_s_at,7056
211360_s_at,3709
205749_at,1543
216483_s_at,56005
203663_s_at,9377
219907_at,10817
219339_s_at,79813
205728_at,10178
213591_at,501
201161_s_at,8531
204229_at,57030
212906_at,57476
207747_s_at,55715
211597_s_at,84525
215847_at,283755
220619_at,55636
203694_s_at,8449
214014_at,10435
216671_x_at,100129528
202424_at,5605
204239_s_at,4826
213416_at,3676
208153_s_at,2196
201929_s_at,8502
204111_at,3176
201108_s_at,7057
219272_at,55223
219846_at,54856
209088_s_at,29855
216263_s_at,25983
202099_s_at,9993
220108_at,9630
202228_s_at,27020
209262_s_at,2063
202219_at,6535
221941_at,196743
38691_s_at,6440
220828_s_at,55338
201904_s_at,10217
202446_s_at,5359
204680_s_at,9771
209486_at,57050
203145_at,10615
207319_s_at,8621
212899_at,23097
213787_s_at,10682
222018_at,4666
221666_s_at,29108
222258_s_at,23677
204881_s_at,7357
201849_at,664
214782_at,2017
208930_s_at,3609
214472_at,3013
216113_at,10152
